sample_id,layer,head,mean_q_norm,mean_entropy,mean_max_attn,mean_k_eff,r_q_entropy,p_q_entropy,r_q_max_attn,r_q_k_eff,num_tokens
0,2,24,14.006386274509802,3.360608697754901,0.4391720640960785,122.04117647058824,0.5351260674588777,3.999157306188911e-39,-0.6290181394600958,0.303636587237262,510.0
0,3,17,15.142403921568627,4.727226338607843,0.1739787379901961,189.2117647058824,0.5580679020744734,4.340042497210451e-43,-0.5283522930553672,0.4704357143082117,510.0
0,3,20,14.8478,3.093546627901961,0.5294177485764706,138.31176470588235,0.5501338732279231,1.1048938963954836e-41,-0.5326524544734985,0.468773359659084,510.0
0,3,22,13.500352941176471,3.9743362016274513,0.3448437264882353,159.11176470588236,0.5922078508707178,1.361970240224917e-49,-0.5530633312463478,0.479224371686454,510.0
0,4,22,14.543611764705885,4.24935929882353,0.230123482290196,147.7980392156863,0.5049879082081998,2.338084129187561e-34,-0.5082208831873483,0.3712585162906182,510.0
0,4,25,15.293,3.547458163333333,0.4266222490941176,145.00392156862745,0.5095058885231751,4.833661332455139e-35,-0.5287034909841926,0.3733799210543996,510.0
0,5,19,12.879198039215687,4.381413262313727,0.2073291557294117,159.1627450980392,0.5446497493027862,9.84652276460213e-41,-0.5274150790480112,0.4141785815535322,510.0
0,6,3,10.725656862745096,3.604762304039216,0.3938099580647058,130.15882352941176,0.5278872827906507,6.178428440879778e-38,-0.5003341990432142,0.4397128986007817,510.0
0,7,20,15.197031372549022,4.800918741764706,0.1341100954598039,181.3254901960784,0.5023382285664174,5.829329133455442e-34,-0.5029296034959694,0.3501181522438829,510.0
0,7,21,10.15782156862745,4.409519756470589,0.1645095524470588,137.32156862745097,0.5491536390273487,1.6383530605968535e-41,-0.5360773445476457,0.4437578664684207,510.0
0,7,24,12.04819019607843,2.5621852052745098,0.5395668774627451,63.61960784313725,0.5250174775857315,1.7961117067719429e-37,-0.6092322216319557,0.2803883196906359,510.0
0,7,31,12.295286274509802,4.384325868392157,0.1944186787882353,146.7686274509804,0.5470032530681619,3.8703943484442304e-41,-0.6125250294556435,0.3656184454795554,510.0
0,8,5,14.88711568627451,4.844665475490196,0.0943050609058823,175.22549019607845,0.6098004015289795,2.945287960467955e-53,-0.6692052886008294,0.4735035199835021,510.0
0,8,7,12.87470588235294,4.68463865745098,0.1314641164588235,159.39411764705883,0.7714898976355068,7.959477154934396e-102,-0.7427937470776406,0.6512079525772411,510.0
0,8,16,10.514788235294116,4.6896131423529415,0.1062787225441176,155.51764705882354,0.6008631516396665,2.2878984185498776e-51,-0.5974720914152915,0.4848236351120054,510.0
0,8,21,14.253854901960786,4.426258815,0.1036385179372549,128.30392156862746,0.6642569498732817,3.3200828141682453e-66,-0.630914305660576,0.5507559411355396,510.0
0,8,23,14.203017647058823,5.039079160196079,0.0536618474811764,190.2764705882353,0.5669967167204787,1.0220941446457058e-44,-0.5698292784384388,0.4655942325867678,510.0
0,8,24,13.000556862745098,3.429459975882353,0.3880252018274509,98.2686274509804,0.5103149866638447,3.6357495385417306e-35,-0.4758236299318121,0.4197006802077614,510.0
0,8,28,10.32261568627451,3.7279603197058826,0.3012966974470588,105.51176470588236,0.5653836235120855,2.0290043116125712e-44,-0.6128176863002082,0.4234388529768056,510.0
0,9,5,13.071180392156862,4.702978029294118,0.1671851361058823,178.90980392156862,0.5868201507680435,1.629521931109389e-48,-0.5462777544071369,0.5045956707182179,510.0
0,9,16,12.47160588235294,3.5802347643529413,0.3535325594980392,105.2843137254902,0.605079200578774,2.98651485052338e-52,-0.545320460070195,0.5553961602587609,510.0
0,9,17,10.743627450980393,4.125414961666667,0.2134299484352941,117.71960784313724,0.6036590398751214,5.949799751037418e-52,-0.5787803373266066,0.5764193742566617,510.0
